video_id,title,published_date,view_count,like_count,comment_count,duration,tags,category_id,language,channel_id,channel_name
A65rcMy2QyY,Chehra Tera 😍🔥- Neelkamal Singh | Sunny Leone | R Jay Kang | Ashutosh | T-Series,2026-01-29T15:15:01Z,1239,127,16,30,"chehra tera,neelkamal singh song,chehra tera neelkamal singh new song,chehra tera full song,neelkamal and sunny leone song,sunny leone songs,neelkamal singh ke gana,nilkamal new song",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
K4ECB1oDn3g,"O'Romeo: Hum To Tere Hi Liye The (Lyrical) | Shahid Kapoor, Triptii D | Vishal B | Gulzar | Arijit",2026-01-29T14:55:34Z,11854,980,134,325,"hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,hindi songs,hum to tere hi liye the,shahid kapoor hum to tere hi liye the,hum to tere hi liye the full song,arijit singh song,hum to tere hi liye the arijit singh song,oromeo movie song,hum to tere hi liye the lyrics,arijit singh songs,o romeo song,shahid kapoor and tripti dimri song,hum to tere hi liye the arijit singh,arijit singh new song,hum to tere hi liye song",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
bz2Bb_zFBBU,TRING TRING (Full Audio): Maarve | Kanika Kapoor | Remo D’Souza | T-Series,2026-01-29T09:22:22Z,8404,143,27,192,"hindi songs 2026,hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,hindi songs,romantic hindi songs,hindi songs bollywood,hindi song status,bollywood dance songs,hindi song,tring tring song,kanika kapoor songs,tring tring kanika kapoor,kanika kapoor new song,tring tring full song,kanika kapoor tring tring song",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
2si9-uluWJ4,"BORDER 2: Tara Rum Pum Pum 😍🔥 |Sunny D|Varun,Diljit,Ahan|Mithoon|Sukhwinder|Kumaar",2026-01-29T07:54:52Z,248357,9134,30,52,"tara rum pum pum song,border 2 movie,tara rum pum border 2,sunny deol tara rum pum pum,border 2 movie sunny deol,tara rum pum pum border 2 movie song,border 2 movie songs,tara rum pum pum patriotic song,border 2 song,tara rum pum pum sukhwinder singh",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
g9ZzG0FP0p0,"BORDER 2: Mohabbat Ho Gayi Hai (Song) | Sunny Deol,Varun,Diljit,Ahan | Mithoon,Sonu Nigam,Palak M",2026-01-29T07:30:25Z,172677,4732,269,226,"hindi songs 2026,hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,hindi songs,romantic hindi songs,mohabbat ho gayi hai,sonu nigam songs,mohabbat ho gayi hai sonu nigam,border 2 movie songs,sonu nigam song border 2,mohabbat ho gayi hai varun dhawan,border 2 mohabat ho gayi hai,mohabbat ho gayi hai border 2,sonu nigam romantic songs,border 2 movie,mohabat ho gayi hai song,sonu nigam song,border 2 movie song",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
uOEPLYpp9ZY,Tanning (Video Song) | Yo Yo Honey Singh | Desi Kalakaar | T-Series,2026-01-28T14:49:30Z,36077,1560,139,146,"hindi songs 2026,hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,hindi songs,tanning vidoe song,yo yo honey singh tanning song,honey singh desi kalakaar song,tanning full video song,tanning song desi kalakaar,yo yo honey singh new song,tanning full song,honey singh new song,yo yo honey singh songs,tanning song",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
tcVGQcy_tyQ,Shyam Chudi Bechne Aaya: Simpal Kharel | Raaj Aashoo | Dhananjay M | Mohit B | Shri Krishna Bhajan,2026-01-28T12:07:27Z,8,113,27,0,"hindi songs 2026,hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,shyam chudi bechne aaya,shri krishna bhajan,shyam bhajan,simpal kharel song,shyam chudi bechne aaya simple kharel,simple kharel ka song,shyam chudi bechne aaya with dance,simple kharel bhajans,krishna bhajans,shyam choodi bechne aaya,simple kharel song krishna,shyam chudi beche aya,simple kharel songs",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
MNw3Y3hYWWE,"Humko Deewana Kar Gaye 8K - Title Song |Akshay Kumar,Katrina Kaif |Anu Malik |Sonu Nigam,Tulsi Kumar",2026-01-28T12:10:49Z,58480,1205,49,324,"hindi songs 2026,hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,hindi songs,romantic hindi songs,humko deewana kar gaye 8k video song,akshay kumar humko deewana kar gaye,sonu nigam songs,humko deewana kar gaye song,akshay kumar songs,hum ko deewana kar gaye full song,katrina kaif and akshay kumar song,humko deewana kar gaye full song,akshay kumar humko deewana kar gaye song,katrina kaif songs,humko deewana kar gaye",24,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
7JFFl0lGrac,Deewangi Deewangi 8K Video Song | Om Shanti Om | Shahrukh Khan | Vishal-Shekhar | T-Series,2026-01-28T12:04:11Z,69826,2050,122,547,"hindi songs 2026,hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,hindi songs,romantic hindi songs,deewangi deewangi song,om shanti om song,deewangi deewangi song dance performance,om shanti om songs,bus deewangi deewangi hai song,shahrukh khan songs,deewangi deewangi udit narayan,om shanti om deewangi deewangi song,om shanti om movie,deewangi deewangi,shahrukh khan om shanti om,dewangi dewangi song,om shanti om",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
xB2fsc2EXS8,BORDER 2: Ishq Da Chehra💞 | Diljit Dosanjh | Sonam Bajwa | Sachet-Parampara,2026-01-28T11:11:28Z,150039,2975,27,54,"ishq da chehra song,border 2 movie song,ishq da chehra tera hun bahu,border 2 movie diljit dosanjh song,ishq da chehra song border 2,diljit dosanjh ishq da chehra",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
