video_id,title,published_date,view_count,like_count,comment_count,duration,tags,category_id,language,channel_id,channel_name
ooAwCOP67GQ,Do Pawnshops Scam You?,2023-06-03T16:59:57Z,434637930,16543586,25726,33.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
nAiKLoCP-kU,"Reach the Money, Win $10,000",2025-02-14T18:15:00Z,502644176,7777960,10012,25.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19T17:00:41Z,102743500,2453903,13510,23.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
8krJy31Diow,Holding Bigger And Bigger Dogs,2024-09-16T18:00:00Z,333120247,8115142,10540,17.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
SWc8fI_9iqA,Ronaldo Teaches Me How To SIUU,2024-12-01T17:00:00Z,353090406,9388671,35979,15.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15T16:00:01Z,207603439,3193058,18983,15.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
8bTQMDM4qvY,"Spot The Fake Animal For $10,000",2024-07-19T16:00:00Z,623513624,17168334,29188,40.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
CWbV3NItSdY,The World's Fastest Cleaners,2024-04-25T16:00:03Z,709517782,26381002,43398,35.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
IemzxkkzI5s,I Tipped A Pizza Delivery Driver A Car,2023-10-12T17:30:03Z,675009877,26580161,34937,52.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07T16:00:00Z,94990332,2524194,9280,34.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
c0v8OPItCOg,"$100,000,000 Bathroom",2023-10-17T17:00:00Z,362769349,12695166,23164,50.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
JgJrQnDIRgg,"First to Answer the Phone, Wins $10,000",2025-10-17T16:00:00Z,58958742,1795276,9128,46.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
HISfrcjiNPM,I Surprised 50 Make-A-Wish Kids With Disneyland,2025-11-21T19:40:01Z,35334557,878395,11816,29.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
0IJulOmiz28,Ages 1-100 Try Lunchly,2026-01-20T17:00:02Z,10552855,415606,13737,40.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
7IKab3HcfFk,I Survived 50 Hours In Antarctica,2022-12-24T20:59:59Z,252691042,5821796,142892,730.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
yhB3BgJyGl8,7 Days Stranded At Sea,2023-08-05T16:00:01Z,411628324,8271917,127130,1085.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
h5NvTTOlOtI,Hydraulic Press Vs Lamborghini,2022-12-10T21:00:01Z,265320364,5789475,124237,625.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Hwybp38GnZw,I Built Willy Wonka's Chocolate Factory!,2022-06-04T20:00:02Z,369161194,6920158,155623,971.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
26QQE7EsnLA,MrBeast Lab Disaster!,2025-11-03T17:00:01Z,31666547,1244157,16062,67.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,2021-04-24T20:00:00Z,236142365,4364783,119951,808.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
oBXSvS2QKxU,100 Kids Vs World's Strongest Man!,2025-10-11T16:00:00Z,149413535,2718228,50441,1641.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
NDsO1LT_0lw,I Spent 100 Hours Inside The Pyramids!,2025-02-08T17:00:00Z,224560807,5340937,100601,1303.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
kNLr-cduzuo,Wait... Was He Famous?,2026-01-25T20:00:01Z,56977546,1636937,17345,14.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
pAnGwRiQ4-4,"$1 vs $1,000,000,000 Futuristic Tech!",2026-01-24T17:00:01Z,67924417,2058357,64161,1384.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
_sBRk9ADpK8,"Flip a Coin, Win $30,000",2026-01-27T17:00:03Z,40704621,1478163,8475,47.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
mgPlEytkbgA,Hindustan Meri Jaan Live by Mithoon 🇮🇳🔥#Border2,2026-01-20T11:15:40Z,487482,8847,72,58.0,"border2 songs,border 2 songs live,hindustan meri jaan live,hindustan meri jaan border2,mithoon hindustan meri jan,mithoon border2",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
8zmby4K1rw4,"Jaate Hue Lamhon - Live at INS Vikrant | BORDER 2 | Sunny Deol | Mithoon, Vishal Mishra, RoopKumar R",2026-01-21T09:30:18Z,2404138,45548,1907,344.0,"tseries,tseries songs,jaate hue lamhon border 2,sunny deol border 2,jaate hue lamhon border 2 song,vishal mishra jaate hue lamhon,jaate hue lamhe vishal mishra,border 2 song,jaate hue lamhe border 2 song,sunny deol border 2 song,jaate hue lamhe song,border 2 jaate hue lamhe,jate hue lamhe song,border jate hue lamhe,vishal mishra jaate hue lamhe,roopkumar rathod jaate hue lamhe,to chalun song,border 2 to chalu,toh chalu song,border to chalu,to chalu,border2",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
Lf5C2gDnM4g,"Pyaari Lage - Live at INS Vikrant | BORDER 2 | Sunny Deol, Varun D | Vishal Mishra, Manoj Muntashir",2026-01-19T12:00:03Z,1152091,16074,442,220.0,"hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,hindi songs,romantic hindi songs,pyaari lage,vishal mishra live performance,pyaari lage vishal mishra,border 2 pyaari lage,pyari lage vishal mishra song,border 2 song pyari lage,vishal mishra pyari lage song,varun dhawan border 2,pyari lage varun dhawan,border 2 song,pyaari lage live vishal mishra,vishal mishra live performance border song,pyari lage,border 2 song all",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
aaXJ8FXaKGk,"Ghar Kab Aaoge - Live at INS Vikrant | BORDER 2 | Sunny D | Anu, Mithoon, Sonu N, Roop KR, Vishal M",2026-01-22T05:30:06Z,2507586,60770,2927,637.0,"hindi songs 2026,hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,ghar kab aaoge,border 2 sandese aate hain,ghar kab aaoge live ins vikrant,sandeshe aate hai,ghar kab aaoge border 2 song,sunny deol border 2,sandese aate hai song,border 2 ghar kab aaoge song,sandeshe aate hain,ghar kab aaoge song,sandeshe aate hain hamen tadpaate hain,ghar kab aaoge border 2,sandese aate hai live,border 2 songs,sandese aate hai,border 2",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
WODeEQoIT7g,"BORDER 2: Pyaari Lage (Lyrical) | Sunny Deol, Varun D, Diljit, Ahan | Vishal M, Tulsi K, Manoj M",2026-01-22T11:34:41Z,907793,13361,407,313.0,"hindi songs 2026,hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,pyaari lage,border 2 pyari lage,pyaari lage song vishal mishra,border 2 songs,pyaari lage full video song,pyaari lage full song lyrics,border 2 pyaari lage song,pyari lage vishal mishra,border 2 pyari lage song,pyaari lage song lyrics,border 2 vishal mishra song,pyarii lage song,vishal mishra songs,pyari lage song lyrics,border 2",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
1MDxczRaEIY,"BORDER 2: Border (Lyrical) | Sunny Deol | Varun D, Diljit, Ahan | Gurmoh | B Praak | Anurag Singh",2026-01-23T05:31:49Z,294428,7444,360,209.0,"hindi songs 2026,hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,hindi songs,border song b praak,border 2 song b praak,sunny deol border song,bpraak border song,border 2 movie song,b praak border song,sunny deol border 2 song,varun dhawan border 2 song,sunny deol song,border song",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
heulS4Bsrf8,O'Romeo: Aashiqon Ki Colony😍💃🔥 | Shahid Kapoor | Disha Patani #YTShortsIndia,2026-01-27T10:04:47Z,162579,2343,35,34.0,"oromeo movie song,disha patani new song,aashiqon ki colony song,disha patani dance,shahid kapoor dance,ashiqon ki colony,disha patani song,o romeo song,shahid kapoor o romeo movie",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
kpL0PIcoA4Y,"Tara Rum Pum Pum - Live at INS Vikrant | BORDER 2 | Sunny Deol | Mithoon, Sukhwinder Singh, Manoj M",2026-01-21T15:37:55Z,225286,3945,140,277.0,"hindi songs 2026,hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,romantic hindi songs,hindi songs bollywood,hindi song status,bollywood dance songs,hindi song,song,tara rum pum pum song,tara rum pum pum border 2,tara rum pum pum live,tara rum pum pum sukhvinder singh,Sukhwinder Singh border 2,Sukhwinder Singh tara rum pum,Sukhwinder Singh live tara rum pum pum,border 2 songs,border 2 song tara rum pum pum sukhwinder singh",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
a5yzN9mioTU,"BORDER 2: Pyaari Lage (Film Version) Video | Sunny Deol,Varun,Diljit,Ahan | Vishal M,Tulsi K,Manoj M",2026-01-27T09:04:22Z,673362,13154,420,204.0,"bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,pyaari lage song,romantic hindi songs,pyari lage song,sunny deol pyari lage song,border 2 pyaari lage song,pyari lage vishal mishra song,border 2 pyari lage song,border 2 song,vishal mishra border 2 song,pyaari lage,border 2 pyari lage,varun dhawan border 2,ahan shetty border 2,pyari lage full video song,border 2 movie song,pyari lage,vishal mishra songs,pyaari lage film version",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
uKhhadu_T4E,"BORDER 2: Tara Rum Pum Pum (Lyrical) |Sunny Deol |Varun D,Diljit,Ahan |Mithoon |Sukhwinder S |Kumaar",2026-01-23T09:45:50Z,193983,2467,109,295.0,"hindi songs 2026,hindi songs new,bollywood songs 2026,bollywood movies 2026,tseries,tseries songs,hindi songs,tara rum pum song,border 2 tara rum pum song lyrics,sunny deol border 2 song,tara rum pum full song lyrics,border 2 movie,tara rum pum lyrical video,border 2 song,tara rum pum,sukhwinder tara rum pum song,border 2 movie song,tara rum pum full video song,border song,tara rum pum pum,border 2 all song",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
-6RRff2oCe0,"BORDER 2: Tara Rum Pum Pum (Film Version) Video |Sunny D|Varun,Diljit,Ahan|Mithoon|Sukhwinder|Kumaar",2026-01-26T07:30:10Z,717271,12229,402,164.0,"hindi songs 2026,hindi songs new,bollywood songs 2026,tseries,tseries songs,hindi songs,tara rum pum song,border 2 tara rum pum song,tara rump pump song,border 2 songs,tara rum pum,border 2 sunny deol song,tara rump pump pump,border 2 movie,tara rum pum song border 2,sunny deol song,tara rum pum song border 2 videos,border 2 varun dhawna song,ahan shetty border 2,diljit dosanjh border 2,sunny deol border 2,tara rum pum pum,tara rum pum film version",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
