channel_id,channel_name,subscribers,total_views,video_count
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,464000000,109407750381,942
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,309000000,329006845395,25286
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,200000000,216802817457,1888
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,188000000,185564310942,165604
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,138000000,122237178564,1537
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29461551057,4656
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,131000000,118716664751,1035
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,149000000,118248809258,988
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,122000000,85379398696,15597
UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,112000000,101532770379,90671
