channel_id,channel_name,subscribers,total_views,video_count
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,462000000,108042109863,938
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,309000000,327752614383,25219
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,200000000,214618764678,1876
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,188000000,185312661724,165130
UCk8GzjMOrta8yxDcKfylJYw,Olena Shponarska,138000000,122000654603,1529
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29456619765,4655
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,131000000,118603867828,1033
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,149000000,117804498833,985
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,122000000,85113176476,15538
UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,112000000,101324853826,90429
