video_id,title,published_date,view_count,like_count,comment_count,duration,tags,category_id,language,channel_id,channel_name
ooAwCOP67GQ,Do Pawnshops Scam You?,2023-06-03T16:59:57Z,431669676,16504789,25629,33.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
c2ukL_zjFCk,Extreme Helmet Game,2025-05-28T16:00:19Z,189401357,3538959,7536,32.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
nAiKLoCP-kU,"Reach the Money, Win $10,000",2025-02-14T18:15:00Z,500107035,7750672,9877,25.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19T17:00:41Z,101795837,2434724,13362,23.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
8bTQMDM4qvY,"Spot The Fake Animal For $10,000",2024-07-19T16:00:00Z,620264553,17141498,29122,40.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Tbn4cYCaZCk,"Drift This Car, Win $10,000",2025-04-16T17:00:15Z,499983307,6539485,10841,20.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
8krJy31Diow,Holding Bigger And Bigger Dogs,2024-09-16T18:00:00Z,330887403,8095933,10497,17.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
SWc8fI_9iqA,Ronaldo Teaches Me How To SIUU,2024-12-01T17:00:00Z,349531504,9353071,35784,15.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15T16:00:01Z,201985836,3125175,18500,15.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
IemzxkkzI5s,I Tipped A Pizza Delivery Driver A Car,2023-10-12T17:30:03Z,671481935,26527933,34809,52.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
CWbV3NItSdY,The World's Fastest Cleaners,2024-04-25T16:00:03Z,707527219,26351410,43345,35.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07T16:00:00Z,91744116,2454565,9062,34.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
c0v8OPItCOg,"$100,000,000 Bathroom",2023-10-17T17:00:00Z,360671612,12669001,23100,50.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
JgJrQnDIRgg,"First to Answer the Phone, Wins $10,000",2025-10-17T16:00:00Z,57180165,1747696,8993,46.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
HISfrcjiNPM,I Surprised 50 Make-A-Wish Kids With Disneyland,2025-11-21T19:40:01Z,33236004,844095,11556,29.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
3GNyw4uaAqU,Subscribe for an iPhone,2026-01-13T19:00:04Z,204242499,2695848,97661,15.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
ywIcdSNJolo,Pass the Phone,2026-01-09T19:00:05Z,46904734,1253711,10262,23.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
7IKab3HcfFk,I Survived 50 Hours In Antarctica,2022-12-24T20:59:59Z,252029340,5817658,142835,730.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
yhB3BgJyGl8,7 Days Stranded At Sea,2023-08-05T16:00:01Z,410342521,8263278,127031,1085.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
h5NvTTOlOtI,Hydraulic Press Vs Lamborghini,2022-12-10T21:00:01Z,264930539,5788334,124249,625.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
26QQE7EsnLA,MrBeast Lab Disaster!,2025-11-03T17:00:01Z,30698329,1212198,15856,67.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Hwybp38GnZw,I Built Willy Wonka's Chocolate Factory!,2022-06-04T20:00:02Z,368681651,6918647,155638,971.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Ah_uuTwGOYU,World's Strongest Man Vs Robot,2025-11-22T17:00:01Z,93573586,1797400,63486,1104.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
QJI0an6irrA,"30 Celebrities Fight For $1,000,000!",2026-01-07T20:00:09Z,87506427,2194711,103874,2518.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,2021-04-24T20:00:00Z,235928841,4364019,119964,808.0,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
lOHVMmZ6n3o,"BORDER 2: Ghar Kab Aaoge | Sunny Deol | Anu,Mithoon, Sonu, Roop, Arijit, Vishal, Diljit, Javed,Manoj",2026-01-02T14:00:06Z,105171560,1252485,54735,191.0,"tseries,tseries songs,ghar kab aaoge border 2,sandese aate hai song,ghar kab aaoge border 2 song,border 2 song,ghar kab aaoge arijit singh,ghar kab aaoge full song,sandeshe aate hain song,border 2 sunny deol song,ghar kab aaoge sonu nigam,sandese aate hain full song,border 2 movie song,ghar kab aaoge song full,vishal mishra ghar kab aaoge,arijit singh ghar kab aaoge,border 2 songs,Sandeshe aate hai,Sandese aate h old song,Deshbhakti song,sandeshe aate hain",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
Gp0QGBbo0CQ,Sahana Sahana Song (Hindi) - The RajaSaab | Prabhas | Nidhhi | Maruthi | Thaman | Vishal M | Kumaar,2025-12-17T13:59:09Z,5947186,119855,4819,154.0,"hindi songs new,tseries,tseries songs,romantic hindi songs,sahana sahana song,prabhas new song,sahana sahana prabhas and nidhi,the raja saab song,rajasaab seconfi single,prabhas songs,sahana sahana prabhas song,rajasaab prabhas song,nidhi and prabhas song,sahana sahana song prabhas,rajasaab movie songs,prabhas rajasaab song,sahana sahana song rajasaab,rajasaab song,prabhas raja saab song hindi,rajasaab movie song,raajsaab,sahana sahana raja saab",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
a7pxzoj18lM,"BORDER 2: Jaate Hue Lamhon 🇮🇳 |Sunny D, Varun,Diljit,Ahan |Anu,Mithoon,Roop,Vishal,Javed",2026-01-13T06:54:55Z,639111,10450,74,31.0,"Jaate hue lamho,Ae jaate hue lamho,To chalo song,Border 2 song,Jate hue lamho,Border 2 jaate hue lamho,t series,tseries,ae jate hue lamho border 2,sunny deol border,ae jaate hue lamho zara,vishal mishra ae jate hue lamho,border 2 varun dhawan,ae jaate hue lamho full song,border 2 all song",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
hR8JECXccdY,"BORDER 2: Jaate Hue Lamhon -Audio Lyrical |Sunny D, Varun,Diljit,Ahan |Anu,Mithoon,Roop,Vishal,Javed",2026-01-12T13:47:53Z,10842705,202719,15514,220.0,"tseries,tseries songs,jaate hue lamhon border 2,sunny deol border 2,jaate hue lamhon border 2 song,vishal mishra jaate hue lamhon,jaate hue lamhe vishal mishra,border 2 song,jaate hue lamhe border 2 song,sunny deol border 2 song,jaate hue lamhe lyrics,border 2 jaate hue lamhe,jate hue lamhe song,border jate hue lamhe,vishal mishra jaate hue lamhe,roopkumar rathod jaate hue lamhe,to chalun song,border 2 to chalu,toh chalu song,border to chalu,to chalu",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
odJE47wW_J4,AL SAHER AL HINDI - JAADUGAR (Official Video) | YO YO HONEY SINGH | 51 GLORIOUS DAYS | BHUSHAN KUMAR,2026-01-08T05:33:11Z,21112493,274316,20068,179.0,"hindi songs 2026,hindi songs new,tseries,tseries songs,al saher al hindi,yo yo honey singh new song,al saher al hindi full song,honey singh songs,al saher al hindi video song,yo yo honey singh songs,al saher al hindi song,honey singh songs new,jaagugar song,yo yo honey singh jaadugar song,jadugar song honey singh,al saher al hindi jadugar,yo yo hoeny singh jadugar song,jaadugar song honey singh,yo yo honey singh,jaadugar song,jadugar jadugar song",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
pvAsrsjtqi4,"BORDER 2: Jaate Hue Lamhon (Audio) | Anu Malik,Javed Akhtar,Mithoon,Roop Kumar Rathod,Vishal Mishra",2026-01-14T10:03:22Z,2229037,37022,3356,344.0,"hindi songs 2026,hindi songs new,bollywood songs 2026,bollywood movies 2025,tseries,tseries songs,hindi songs,jaate hue lamhon song,ae jaate hue lamhon song,border 2 vishal mishra song,jaate hue lamhon border 2,ae jaate hue lamho song,border 2 jaate hue lamho,jaate hue lamho vishal mishra,ae jaate hue lamho,border 2 ae jaate hue lamho song,roop kumar rathod jaate hue lamho,border 2 jaate hue lamhon,ae jate hue lamho",10,hi,UCq-Fj5jknLsUf-MWSy4_brA,T-Series
