channel_id,channel_name,subscribers,total_views,video_count
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,464000000,108928285481,941
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,309000000,328598742085,25265
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,200000000,214618764678,1884
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,188000000,185495951363,165453
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,138000000,122163859311,1534
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29460538431,4656
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,131000000,118686798345,1034
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,149000000,118128886204,987
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,122000000,85293291578,15577
UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,112000000,101463469063,90591
