video_id,title,published_date,view_count,like_count,comment_count,duration,tags,category_id,language,channel_id,channel_name
ooAwCOP67GQ,Do Pawnshops Scam You?,2023-06-03T16:59:57Z,434659878,16543770,25726,33,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
nAiKLoCP-kU,"Reach the Money, Win $10,000",2025-02-14T18:15:00Z,502659099,7778051,10012,25,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19T17:00:41Z,102750286,2453976,13511,23,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
8krJy31Diow,Holding Bigger And Bigger Dogs,2024-09-16T18:00:00Z,333133160,8115226,10540,17,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
SWc8fI_9iqA,Ronaldo Teaches Me How To SIUU,2024-12-01T17:00:00Z,353111528,9388831,35979,15,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15T16:00:01Z,207646614,3193240,18984,15,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
8bTQMDM4qvY,"Spot The Fake Animal For $10,000",2024-07-19T16:00:00Z,623529055,17168444,29189,40,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
CWbV3NItSdY,The World's Fastest Cleaners,2024-04-25T16:00:03Z,709540243,26381252,43399,35,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
IemzxkkzI5s,I Tipped A Pizza Delivery Driver A Car,2023-10-12T17:30:03Z,675045851,26580584,34939,52,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07T16:00:00Z,95014077,2524486,9281,34,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
c0v8OPItCOg,"$100,000,000 Bathroom",2023-10-17T17:00:00Z,362784834,12695313,23165,50,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
JgJrQnDIRgg,"First to Answer the Phone, Wins $10,000",2025-10-17T16:00:00Z,58972860,1795552,9128,46,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
HISfrcjiNPM,I Surprised 50 Make-A-Wish Kids With Disneyland,2025-11-21T19:40:01Z,35350698,878609,11818,29,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
0IJulOmiz28,Ages 1-100 Try Lunchly,2026-01-20T17:00:02Z,10570585,415898,13744,40,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
7IKab3HcfFk,I Survived 50 Hours In Antarctica,2022-12-24T20:59:59Z,252694000,5821808,142893,730,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
yhB3BgJyGl8,7 Days Stranded At Sea,2023-08-05T16:00:01Z,411634721,8271950,127130,1085,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Hwybp38GnZw,I Built Willy Wonka's Chocolate Factory!,2022-06-04T20:00:02Z,369163358,6920168,155622,971,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
Rj_vssRaZlQ,I Ate The World’s Largest Slice Of Pizza,2020-08-01T20:00:02Z,326491377,4887334,137411,483,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
h5NvTTOlOtI,Hydraulic Press Vs Lamborghini,2022-12-10T21:00:01Z,265322276,5789481,124237,625,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
vp5sSqyZ5Go,I Filled My Brother’s House With Slime & Bought Him A New One,2020-10-10T20:00:31Z,259223264,4121048,115876,565,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,2021-04-24T20:00:00Z,236143123,4364784,119951,808,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
oBXSvS2QKxU,100 Kids Vs World's Strongest Man!,2025-10-11T16:00:00Z,149422393,2718279,50441,1641,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
26QQE7EsnLA,MrBeast Lab Disaster!,2025-11-03T17:00:01Z,31670898,1244255,16062,67,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
NDsO1LT_0lw,I Spent 100 Hours Inside The Pyramids!,2025-02-08T17:00:00Z,224563010,5340943,100600,1303,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
iogcY_4xGjo,"$1 vs $1,000,000 Hotel Room!",2022-10-22T21:00:00Z,423226088,7486086,114166,941,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
kX3nB4PpJko,"Last To Take Hand Off Jet, Keeps It!",2022-11-12T21:00:00Z,244988487,4942843,99935,937,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
