video_id,title,published_date,view_count,like_count,comment_count,duration,tags,category_id,language,channel_id,channel_name
ooAwCOP67GQ,Do Pawnshops Scam You?,2023-06-03T16:59:57Z,434743692,16544775,25726,33,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
nAiKLoCP-kU,"Reach the Money, Win $10,000",2025-02-14T18:15:00Z,502711759,7778454,10012,25,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19T17:00:41Z,102774899,2454440,13517,23,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
8krJy31Diow,Holding Bigger And Bigger Dogs,2024-09-16T18:00:00Z,333186152,8115642,10541,17,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
SWc8fI_9iqA,Ronaldo Teaches Me How To SIUU,2024-12-01T17:00:00Z,353191778,9389515,35983,15,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15T16:00:01Z,207739825,3193955,18996,15,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
8bTQMDM4qvY,"Spot The Fake Animal For $10,000",2024-07-19T16:00:00Z,623591625,17169069,29189,40,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
CWbV3NItSdY,The World's Fastest Cleaners,2024-04-25T16:00:03Z,709624958,26382431,43403,35,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
IemzxkkzI5s,I Tipped A Pizza Delivery Driver A Car,2023-10-12T17:30:03Z,675177822,26582487,34940,52,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07T16:00:00Z,95108668,2526375,9284,34,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
c0v8OPItCOg,"$100,000,000 Bathroom",2023-10-17T17:00:00Z,362847885,12696016,23166,50,,24,en,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
